Exchange Date,AUDCAD Bid%Chg,AUDCHF Bid%Chg,AUDJPY Bid%Chg,AUDNZD Bid%Chg,AUDUSD Bid%Chg,CADCHF Bid%Chg,CADJPY Bid%Chg,CHFJPY Bid%Chg,EURAUD Bid%Chg,EURCAD Bid%Chg,EURCHF Bid%Chg,EURGBP Bid%Chg,EURJPY Bid%Chg,EURNZD Bid%Chg,EURUSD Bid%Chg,GBPAUD Bid%Chg,GBPCAD Bid%Chg,GBPCHF Bid%Chg,GBPJPY Bid%Chg,GBPNZD Bid%Chg,GBPUSD Bid%Chg,NZDCAD Bid%Chg,NZDCHF Bid%Chg,NZDJPY Bid%Chg,NZDUSD Bid%Chg,USDCAD Bid%Chg,USDCHF Bid%Chg,USDJPY Bid%Chg
10-May-2021,0,0.002549214,0.003287929,0.001485884,0.001402703,0.002561337,0.002904055,0.001078122,-0.001676338,-0.001491424,9.12909E-05,-0.004601933,0.001590307,-0.001256357,-0.000493299,0.002858584,0.004011089,0.005157911,0.005989206,0.004792166,0.005367879,-0.000226706,0.001373417,0.003164958,0.001237454,-0.001154163,0.000332963,0.001933702
07-May-2021,0.006238105,0.000141643,0.002826189,0.000929541,0.008098727,-0.007226981,-0.002784585,0.003328341,0.000322477,0.006276008,0.000548045,0.000690767,0.003419453,0.002158403,0.008206233,-0.000560193,0.004800853,0.000794155,0.002970493,-0.000156242,0.006265754,0.004211725,-0.001371533,0.001140684,0.005669248,-0.001481725,-0.006615215,-0.00440044
06-May-2021,-0.004525839,-0.001696833,0.00390117,0.002235886,0.004130631,0.004301075,0.008424127,0.005101614,0.000709952,-0.004482173,-0.001186023,0.006488992,0.004043641,0.002524494,0.004914619,-0.004794559,-0.010613968,-0.007800804,-0.002042161,-0.003528984,-0.001294685,-0.006895772,-0.003341434,0.001523229,0.002634133,-0.009458578,-0.006354075,-0.000915919
05-May-2021,0.001581278,0.004402784,0.003797318,-0.00454419,0.005451006,0.002155172,0.002251492,-0.000919118,-0.005711352,-0.003990801,-0.000911494,-0.002312139,-0.00167568,-0.010526942,-0.000665945,-0.004605993,-0.001814563,0.000315283,-0.000197589,-0.008796296,0.001296363,0.006256399,0.009196812,0.008448541,0.009941193,-0.003655862,-0.000766284,-0.001371993
04-May-2021,-0.004199034,-0.004383484,-0.004489073,0.000928247,-0.007215565,0.001213756,0.000112587,-8.35492E-05,0.002702529,-0.001755571,-0.001728844,-0.002651908,-0.002128145,0.002743321,-0.00397977,0.005580357,0.000409908,0.001974412,0.000790983,0.006159101,-0.001725501,-0.004416761,-0.004273504,-0.005094244,-0.007779939,0.002688172,0.00285432,0.002475701
03-May-2021,0.004852321,0.004688166,0.004151839,0.00083612,0.005832037,-0.001481282,-0.001124606,-0.000417571,-0.003206978,0.002708192,0.001549257,-0.003103448,0.001446187,-0.000536449,0.003577966,0.000334934,0.006661165,0.003248554,0.004835077,0.001191833,0.006877081,0.003523128,0.001988072,0.003065917,0.005307263,-0.001057857,-0.002627833,-0.001921845
30-Apr-2021,-0.005559635,-0.002550659,-0.003192621,0.004198153,-0.00618238,0.003377922,0.002593303,-0.000751064,-0.000897148,-0.007725899,-0.003632071,0.001035554,-0.004621562,0.00292922,-0.008252187,-0.002061167,-0.009285756,-0.003710136,-0.005663857,0.003379608,-0.009038737,-0.010570111,-0.005928854,-0.007606491,-0.011732229,0.000814399,0.005504789,0.003305482
29-Apr-2021,-0.005632628,-0.003670761,-0.000827032,-0.000745782,-0.003081664,0.002573828,0.005669577,0.003181247,0.002827582,-0.003080839,-0.001088435,-0.000689893,0.002430318,0.000957396,-0.000412439,0.003409726,-0.001748965,-0.000631114,0.003370118,0.001875293,0.000574218,-0.004031806,-0.00257771,0,-0.000965251,-0.002680312,-0.001209589,0.002946864
28-Apr-2021,-0.004671927,-0.001832018,0.002131186,-0.004085043,0.00309119,0.001492335,0.005816606,0.003865871,-0.000385431,-0.004068837,-0.001810774,0.001266406,0.001445087,-0.003458557,0.002729529,-0.001172464,-0.00533488,-0.002282566,0.000992195,-0.004821151,0.001437608,-0.000447778,0.001822877,0.006379178,0.00624393,-0.006535948,-0.004379242,-0.000828119
27-Apr-2021,-0.003311258,-0.004349656,0.002254658,0,-0.004487755,0.000135685,0.00527402,0.006257928,0.004970949,0.001135225,-0.000181045,-0.000805246,0.006661052,0.004672897,0.000579326,0.00527586,0.000986766,-0.000236072,0.006457626,0.004478234,0.00115141,-0.003680571,-0.004536519,0.00230179,-0.003732375,-0.000161355,-0.000547106,0.005551443
26-Apr-2021,0.000621247,0.008204838,0.008376212,0.001673951,0.00697224,0.006693075,0.008906883,0.001694197,-0.008132164,-0.007686701,-0.000452407,-0.002524383,0.001149778,-0.00737393,-0.001322423,-0.005525787,-0.004794639,0.002524456,0.002736983,-0.004458269,0.0015857,-0.00011152,0.007158087,0.007472301,0.006399555,-0.006412826,0.000547405,0.001575387
